,DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count,Month,Year,Scaled Passenger Count
17,06/09/2021 12:34:10 PM,2021-05-01,Arrival,International,Charter,4,5,2021,1.0511544303531352e-07
18,06/11/2021 12:35:47 PM,2021-05-01,Departure,Domestic,Charter,883,5,2021,2.320423405004546e-05
19,06/11/2021 12:35:47 PM,2020-11-01,Departure,International,Scheduled Carriers,170834,11,2020,0.004489322898873688
20,06/11/2021 12:35:47 PM,2021-02-01,Departure,International,Scheduled Carriers,113193,2,2021,0.002974583085874061
21,06/11/2021 12:35:47 PM,2020-09-01,Departure,International,Scheduled Carriers,127934,9,2020,0.00336195977231995
22,09/28/2020 04:07:45 PM,2020-08-01,Departure,International,Charter,1464,8,2020,3.847225215092475e-05
23,06/11/2021 12:35:47 PM,2020-10-01,Departure,International,Scheduled Carriers,156042,10,2020,0.004100605990529097
24,06/11/2021 12:35:47 PM,2021-03-01,Arrival,International,Scheduled Carriers,169960,3,2021,0.004466355174570472
25,06/01/2022 12:00:23 AM,2022-04-01,Departure,International,Scheduled Carriers,624711,4,2022,0.016416693383508433
26,05/10/2021 06:01:09 AM,2021-04-01,Arrival,International,Charter,17,4,2021,4.4674063290008247e-07
27,06/11/2021 12:35:47 PM,2021-01-01,Departure,International,Scheduled Carriers,139549,1,2021,0.0036671887400337414
28,06/11/2021 12:35:47 PM,2021-01-01,Arrival,International,Scheduled Carriers,199463,1,2021,0.005241660403538185
29,06/11/2021 12:35:47 PM,2020-10-01,Arrival,International,Scheduled Carriers,148999,10,2020,0.00391552397420467
30,09/28/2020 04:07:45 PM,2020-08-01,Arrival,International,Charter,586,8,2020,1.539941240467343e-05
31,08/27/2020 07:15:54 AM,2020-07-01,Departure,International,Charter,965,7,2020,2.5359100632269386e-05
32,06/11/2021 12:35:47 PM,2020-08-01,Departure,International,Scheduled Carriers,112459,8,2020,0.0029552944020770806
33,06/11/2021 12:35:47 PM,2020-12-01,Arrival,International,Scheduled Carriers,163191,12,2020,0.004288473566093963
34,06/11/2021 12:35:47 PM,2020-11-01,Arrival,International,Scheduled Carriers,164266,11,2020,0.004316723341409702
35,03/03/2021 10:48:12 AM,2021-01-01,Departure,International,Charter,160,1,2021,4.204617721412541e-06
36,06/11/2021 12:35:47 PM,2021-03-01,Departure,International,Scheduled Carriers,176538,3,2021,0.004639217520642044
37,03/03/2021 10:48:12 AM,2021-01-01,Arrival,International,Charter,26,1,2021,6.832503797295378e-07
38,06/29/2021 10:06:21 AM,2021-05-01,Arrival,International,Scheduled Carriers,297353,5,2021,0.007814098083219895
39,06/29/2021 10:06:21 AM,2021-05-01,Departure,Domestic,Scheduled Carriers,1725461,5,2021,0.045343149363788776
40,08/27/2020 07:15:54 AM,2020-07-01,Arrival,International,Charter,193,7,2020,5.071820126453877e-06
41,06/11/2021 12:35:47 PM,2021-05-01,Arrival,Domestic,Commuter,30,5,2021,7.883658227648513e-07
42,03/10/2021 06:01:08 AM,2021-02-01,Arrival,International,Charter,8,2,2021,2.1023088607062704e-07
43,06/11/2021 12:35:47 PM,2020-07-01,Arrival,International,Scheduled Carriers,85003,7,2020,0.0022337820010826888
44,06/11/2021 12:35:47 PM,2021-04-01,Arrival,International,Scheduled Carriers,216529,4,2021,0.005690135441248351
45,06/11/2021 12:35:47 PM,2020-08-01,Arrival,International,Scheduled Carriers,107978,8,2020,0.0028375388270167707
46,06/11/2021 12:35:47 PM,2021-02-01,Arrival,International,Scheduled Carriers,113188,2,2021,0.0029744516915702667
47,06/11/2021 12:35:47 PM,2020-12-01,Departure,International,Scheduled Carriers,200633,12,2020,0.005272406670626014
48,06/11/2021 12:35:47 PM,2020-07-01,Departure,International,Scheduled Carriers,105620,7,2020,0.002775573273347453
49,02/02/2021 08:17:02 AM,2020-12-01,Arrival,International,Charter,18,12,2020,4.7301949365891084e-07
50,06/11/2021 12:35:47 PM,2021-05-01,Arrival,Domestic,Charter,1039,5,2021,2.7303736328422686e-05
51,06/11/2021 12:35:47 PM,2021-04-01,Departure,International,Scheduled Carriers,207675,4,2021,0.005457462408089684
52,12/07/2020 01:58:36 PM,2020-10-01,Arrival,International,Charter,10,10,2020,2.627886075882838e-07
53,06/11/2021 12:35:47 PM,2020-09-01,Arrival,International,Scheduled Carriers,120748,9,2020,0.003173119878907009
54,06/29/2021 10:06:21 AM,2021-05-01,Arrival,Domestic,Scheduled Carriers,1729633,5,2021,0.0454527847708746
55,08/01/2021 12:00:23 AM,2021-06-01,Departure,Domestic,Scheduled Carriers,2085115,6,2021,0.054794446751144435
56,08/01/2021 12:00:23 AM,2021-06-01,Arrival,Domestic,Scheduled Carriers,2039580,6,2021,0.05359783882649118
57,08/01/2021 12:00:23 AM,2021-06-01,Departure,Domestic,Commuter,27,6,2021,7.095292404883663e-07
58,08/10/2021 06:01:10 AM,2021-07-01,Departure,International,Charter,0,7,2021,0.0
59,08/30/2021 11:09:52 AM,2021-07-01,Departure,International,Scheduled Carriers,449304,7,2021,0.011807197254384626
60,08/30/2021 11:09:52 AM,2021-07-01,Arrival,International,Scheduled Carriers,474559,7,2021,0.012470869882848838
61,08/30/2021 11:09:52 AM,2021-07-01,Departure,Domestic,Scheduled Carriers,2318755,7,2021,0.0609342397788371
62,08/30/2021 11:09:52 AM,2021-07-01,Arrival,Domestic,Scheduled Carriers,2317794,7,2021,0.06090898579364787
63,08/10/2021 06:01:10 AM,2021-07-01,Departure,Domestic,Charter,549,7,2021,1.442709455659678e-05
64,08/10/2021 06:01:10 AM,2021-07-01,Arrival,International,Charter,10,7,2021,2.627886075882838e-07
65,08/30/2021 11:09:52 AM,2021-07-01,Arrival,Domestic,Charter,660,7,2021,1.734404810082673e-05
66,08/30/2021 11:09:52 AM,2021-07-01,Departure,Domestic,Commuter,54,7,2021,1.4190584809767326e-06
67,08/30/2021 11:09:52 AM,2021-07-01,Arrival,Domestic,Commuter,54,7,2021,1.4190584809767326e-06
68,12/01/2021 12:00:21 AM,2021-10-01,Departure,Domestic,Scheduled Carriers,2028382,10,2021,0.05330356814371383
69,12/01/2021 12:00:21 AM,2021-10-01,Arrival,International,Scheduled Carriers,393093,10,2021,0.010330036212270124
70,06/01/2022 12:00:23 AM,2022-04-01,Arrival,Domestic,Charter,791,4,2022,2.078657886023325e-05
71,12/01/2021 12:00:21 AM,2021-10-01,Departure,International,Charter,262,10,2021,6.8850615188130355e-06
72,12/01/2021 12:00:21 AM,2021-10-01,Departure,International,Scheduled Carriers,372338,10,2021,0.009784618457220642
73,12/01/2021 12:00:21 AM,2021-10-01,Arrival,Domestic,Scheduled Carriers,2048874,10,2021,0.05384207455838373
74,11/10/2021 06:01:08 AM,2021-10-01,Arrival,International,Charter,58,10,2021,1.5241739240120459e-06
75,03/01/2022 12:00:19 AM,2022-01-01,Departure,International,Scheduled Carriers,412342,1,2022,0.010835878003016811
76,06/01/2022 12:00:23 AM,2022-04-01,Departure,Domestic,Scheduled Carriers,2091353,4,2022,0.054958374284558006
77,06/01/2022 12:00:23 AM,2022-04-01,Arrival,Domestic,Scheduled Carriers,2095453,4,2022,0.05506611761366921
78,06/01/2022 12:00:23 AM,2022-04-01,Departure,International,Charter,48,4,2022,1.2613853164237623e-06
79,06/01/2023 12:01:10 AM,2023-04-01,Arrival,Domestic,Scheduled Carriers,2138072,4,2023,0.056186096380349715
80,06/01/2023 12:01:10 AM,2023-04-01,Departure,Domestic,Scheduled Carriers,2130593,4,2023,0.05598955678073443
81,04/01/2022 12:00:18 AM,2022-02-01,Departure,Domestic,Scheduled Carriers,1624994,2,2022,0.04270299105993156
82,04/01/2022 12:00:18 AM,2022-01-01,Departure,Domestic,Scheduled Carriers,1526037,1,2022,0.04010251383582019
83,04/01/2022 12:00:18 AM,2022-01-01,Arrival,Domestic,Scheduled Carriers,1565284,1,2022,0.04113388028402192
84,06/01/2023 12:01:10 AM,2023-04-01,Departure,International,Scheduled Carriers,852066,4,2023,0.022391323771331864
85,03/10/2022 06:01:10 AM,2022-02-01,Departure,International,Charter,43,2,2022,1.1299910126296203e-06
86,04/01/2022 12:00:18 AM,2022-02-01,Departure,Domestic,Commuter,33,2,2022,8.672024050413365e-07
87,04/01/2022 12:00:18 AM,2021-12-01,Departure,International,Scheduled Carriers,553121,12,2021,0.014535389741783913
88,04/01/2022 12:00:18 AM,2022-02-01,Arrival,Domestic,Commuter,43,2,2022,1.1299910126296203e-06
89,04/01/2022 12:00:18 AM,2022-02-01,Departure,International,Scheduled Carriers,376246,2,2022,0.009887316245066143
90,04/01/2022 12:00:18 AM,2022-02-01,Arrival,Domestic,Scheduled Carriers,1710335,2,2022,0.04494565531595074
91,06/01/2022 12:00:23 AM,2022-04-01,Arrival,International,Charter,44,4,2022,1.1562698733884486e-06
92,06/01/2022 12:00:23 AM,2022-04-01,Departure,Domestic,Charter,685,4,2022,1.800101961979744e-05
93,04/01/2022 12:00:18 AM,2021-12-01,Arrival,International,Scheduled Carriers,497925,12,2021,0.01308490174333962
94,05/01/2022 12:00:25 AM,2022-02-01,Arrival,Domestic,Charter,776,2,2022,2.039239594885082e-05
95,05/01/2022 12:00:25 AM,2022-03-01,Arrival,Domestic,Charter,971,3,2022,2.5516773796822358e-05
96,05/01/2022 12:00:25 AM,2021-11-01,Arrival,Domestic,Charter,985,11,2021,2.5884677847445954e-05
97,05/01/2022 12:00:25 AM,2022-03-01,Departure,International,Scheduled Carriers,544185,3,2022,0.014300561842043022
98,05/01/2022 12:00:25 AM,2022-03-01,Arrival,Domestic,Scheduled Carriers,2051881,3,2022,0.053921095092685535
99,05/01/2022 12:00:25 AM,2021-11-01,Departure,Domestic,Charter,903,11,2021,2.3729811265222026e-05
100,05/01/2022 12:00:25 AM,2021-12-01,Departure,Domestic,Charter,1058,12,2021,2.7803034682840426e-05
101,05/01/2022 12:00:25 AM,2021-10-01,Arrival,Domestic,Charter,2653,10,2021,6.971781759317168e-05
102,05/01/2022 12:00:25 AM,2022-03-01,Departure,Domestic,Charter,1083,3,2022,2.8460006201811138e-05
103,05/01/2022 12:00:25 AM,2021-10-01,Departure,Domestic,Charter,2508,10,2021,6.590738278314157e-05
104,05/01/2022 12:00:25 AM,2022-03-01,Departure,Domestic,Scheduled Carriers,2089295,3,2022,0.05490429238911634
105,05/01/2022 12:00:25 AM,2021-12-01,Arrival,Domestic,Charter,1652,12,2021,4.341267797358448e-05
106,05/01/2022 12:00:25 AM,2022-02-01,Departure,Domestic,Charter,651,2,2022,1.7107538353997274e-05
107,05/01/2022 12:00:25 AM,2022-01-01,Arrival,Domestic,Charter,1112,1,2022,2.922209316381716e-05
108,05/01/2022 12:00:25 AM,2022-01-01,Departure,Domestic,Charter,486,1,2022,1.2771526328790593e-05
109,06/01/2023 12:01:10 AM,2023-03-01,Arrival,International,Scheduled Carriers,833473,3,2023,0.021902720913242968
110,08/30/2022 11:02:17 AM,2022-06-01,Departure,International,Scheduled Carriers,854970,6,2022,0.0224676375829755
111,08/30/2022 11:02:17 AM,2022-07-01,Arrival,Domestic,Scheduled Carriers,2267090,7,2022,0.059576542437732236
112,09/01/2022 12:00:54 AM,2022-05-01,Departure,International,Scheduled Carriers,712347,5,2022,0.01871966762496912
113,08/30/2022 11:02:17 AM,2021-08-01,Arrival,International,Scheduled Carriers,522222,8,2021,0.013723399223196873
114,08/30/2022 11:02:17 AM,2022-07-01,Departure,Domestic,Charter,1105,7,2022,2.9038141138505358e-05
115,08/30/2022 11:02:17 AM,2021-08-01,Departure,International,Scheduled Carriers,396121,8,2021,0.010409608602647858
116,08/30/2022 11:02:17 AM,2022-07-01,Departure,Domestic,Scheduled Carriers,2248254,7,2022,0.05908155381647894
117,06/01/2023 12:01:10 AM,2023-04-01,Arrival,International,Charter,410,4,2023,1.0774332911119637e-05
118,08/30/2022 11:02:17 AM,2022-07-01,Arrival,Domestic,Charter,1060,7,2022,2.7855592404358082e-05
119,08/10/2022 06:01:11 AM,2022-07-01,Departure,International,Charter,38,7,2022,9.985967088354785e-07
120,09/01/2022 12:00:54 AM,2022-07-01,Departure,International,Scheduled Carriers,889181,7,2022,0.023366663688395777
121,08/10/2022 06:01:11 AM,2022-07-01,Arrival,International,Charter,84,7,2022,2.207424303741584e-06
122,09/29/2021 09:09:13 AM,2021-08-01,Arrival,Domestic,Scheduled Carriers,2102089,8,2021,0.05524050413366479
123,09/29/2021 09:09:13 AM,2021-08-01,Departure,Domestic,Scheduled Carriers,2111953,8,2021,0.055499718816189876
124,01/01/2022 12:00:11 AM,2021-11-01,Arrival,Domestic,Scheduled Carriers,2022211,11,2021,0.053141401293971095
125,09/10/2021 06:01:13 AM,2021-08-01,Departure,International,Charter,129,8,2021,3.3899730378888608e-06
126,09/29/2021 09:09:13 AM,2021-08-01,Departure,Domestic,Charter,1195,8,2021,3.140323860679991e-05
127,09/29/2021 09:09:13 AM,2021-08-01,Arrival,International,Charter,235,8,2021,6.175532278324669e-06
128,07/01/2022 12:00:22 AM,2022-05-01,Departure,International,Charter,180,5,2022,4.730194936589108e-06
129,11/01/2021 12:00:16 AM,2021-09-01,Departure,Domestic,Charter,1604,9,2021,4.215129265716072e-05
130,11/01/2021 12:00:16 AM,2021-09-01,Arrival,Domestic,Charter,1200,9,2021,3.153463291059406e-05
131,11/01/2021 12:00:16 AM,2021-08-01,Arrival,Domestic,Charter,1264,8,2021,3.321647999915907e-05
132,11/01/2021 12:00:16 AM,2021-09-01,Departure,International,Scheduled Carriers,349922,9,2021,0.009195551514450744
133,11/01/2021 12:00:16 AM,2021-09-01,Departure,Domestic,Scheduled Carriers,1823966,9,2021,0.04793174854283717
134,10/10/2021 06:01:09 AM,2021-09-01,Departure,International,Charter,42,9,2021,1.103712151870792e-06
135,11/01/2021 12:00:16 AM,2021-09-01,Arrival,International,Scheduled Carriers,381223,9,2021,0.010018106135062831
136,11/01/2021 12:00:16 AM,2021-09-01,Arrival,Domestic,Scheduled Carriers,1814120,9,2021,0.04767300687980574
137,01/01/2022 12:00:11 AM,2021-11-01,Departure,Domestic,Scheduled Carriers,2027597,11,2021,0.05328293923801815
138,01/01/2022 12:00:11 AM,2021-11-01,Departure,International,Charter,45,11,2021,1.182548734147277e-06
139,01/01/2022 12:00:11 AM,2021-11-01,Departure,International,Scheduled Carriers,436178,11,2021,0.011462260928064245
140,01/01/2022 12:00:11 AM,2021-11-01,Arrival,International,Scheduled Carriers,441058,11,2021,0.01159050176856733
141,01/31/2022 03:01:29 PM,2021-12-01,Arrival,Domestic,Scheduled Carriers,2072774,12,2021,0.05447013933051974
142,01/31/2022 03:01:29 PM,2021-12-01,Departure,Domestic,Scheduled Carriers,2066475,12,2021,0.05430460878659988
143,07/01/2022 12:00:22 AM,2022-05-01,Arrival,International,Charter,56,5,2022,1.4716162024943893e-06
144,07/01/2022 12:00:22 AM,2022-05-01,Arrival,Domestic,Charter,1022,5,2022,2.6856995695522602e-05
145,01/31/2022 03:01:29 PM,2021-12-01,Departure,International,Charter,1763,12,2021,4.632963151781443e-05
146,01/31/2022 03:01:29 PM,2021-12-01,Arrival,International,Charter,978,12,2021,2.5700725822134157e-05
147,07/01/2022 12:00:22 AM,2022-05-01,Departure,Domestic,Charter,921,5,2022,2.4202830758880938e-05
148,07/28/2022 09:31:00 AM,2022-05-01,Departure,Domestic,Scheduled Carriers,2220887,5,2022,0.058362380234092084
149,07/10/2022 06:01:12 AM,2022-06-01,Departure,International,Charter,72,6,2022,1.8920779746356434e-06
150,07/28/2022 09:31:00 AM,2022-06-01,Departure,Domestic,Charter,445,6,2022,1.1694093037678629e-05
151,07/28/2022 09:31:00 AM,2022-06-01,Arrival,Domestic,Charter,419,6,2022,1.101084265794909e-05
152,06/01/2023 12:01:10 AM,2023-04-01,Departure,International,Charter,311,4,2023,8.172725695995625e-06
153,07/28/2022 09:31:00 AM,2022-06-01,Arrival,Domestic,Scheduled Carriers,2253996,6,2022,0.05923244703495613
154,06/01/2023 12:01:10 AM,2023-04-01,Arrival,Domestic,Charter,1592,4,2023,4.183594632805478e-05
155,07/28/2022 09:31:00 AM,2022-05-01,Arrival,Domestic,Scheduled Carriers,2233067,5,2022,0.05868245675813461
156,07/28/2022 09:31:00 AM,2022-06-01,Departure,Domestic,Scheduled Carriers,2241701,6,2022,0.05890934844192634
157,04/18/2018 03:12:41 PM,2006-01-01,Departure,International,Scheduled Carriers,694117,1,2006,0.018240603993335675
158,04/18/2018 03:12:41 PM,2006-01-01,Departure,Domestic,Charter,3450,1,2006,9.066206961795792e-05
159,04/18/2018 03:12:41 PM,2006-01-01,Departure,International,Commuter,1125,1,2006,2.9563718353681926e-05
160,04/18/2018 03:12:41 PM,2006-01-01,Arrival,Domestic,Scheduled Carriers,1538812,1,2006,0.04043822628201421
161,04/18/2018 03:12:41 PM,2006-01-01,Arrival,International,Commuter,1280,1,2006,3.363694177130033e-05
162,04/18/2018 03:12:41 PM,2006-01-01,Arrival,International,Scheduled Carriers,742810,1,2006,0.019520200560265308
163,04/18/2018 03:12:41 PM,2006-01-01,Arrival,Domestic,Charter,2457,1,2006,6.456716088444134e-05
164,04/18/2018 03:12:41 PM,2006-01-01,Arrival,International,Charter,332,1,2006,8.724581771931023e-06
165,04/18/2018 03:12:41 PM,2006-01-01,Departure,Domestic,Scheduled Carriers,1492469,1,2006,0.03922038503786783
166,04/18/2018 03:12:41 PM,2006-01-01,Arrival,Domestic,Commuter,139728,1,2006,0.003671892656109572
167,04/18/2018 03:12:41 PM,2006-01-01,Departure,International,Charter,558,1,2006,1.4663604303426237e-05
168,04/18/2018 03:12:41 PM,2006-01-01,Departure,Domestic,Commuter,139021,1,2006,0.0036533135015530804
169,04/18/2018 03:12:41 PM,2006-10-01,Arrival,Domestic,Scheduled Carriers,1630224,10,2006,0.042840429501700236
170,04/18/2018 03:12:41 PM,2014-04-01,Arrival,International,Charter,310,4,2014,8.146446835236798e-06
171,04/18/2018 03:12:41 PM,2014-12-01,Departure,Domestic,Scheduled Carriers,2144299,12,2014,0.056349734846294935
172,04/18/2018 03:12:41 PM,2011-01-01,Departure,Domestic,Scheduled Carriers,1576778,1,2011,0.0414359295095839
173,04/18/2018 03:12:41 PM,2013-07-01,Departure,International,Commuter,0,7,2013,0.0
174,04/18/2018 03:12:41 PM,2007-10-01,Arrival,Domestic,Scheduled Carriers,1690216,10,2007,0.04441695091634387
175,10/29/2018 10:20:51 AM,2018-08-01,Arrival,International,Scheduled Carriers,1287138,8,2018,0.03382452027939684
176,03/10/2021 06:01:08 AM,2021-02-01,Departure,Domestic,Charter,134,2,2021,3.5213673416830028e-06
177,04/18/2018 03:12:41 PM,2006-12-01,Arrival,Domestic,Commuter,166309,12,2006,0.004370411053939989
178,04/18/2018 03:12:41 PM,2009-12-01,Arrival,Domestic,Scheduled Carriers,1691926,12,2009,0.04446188776824147
179,04/18/2018 03:12:41 PM,2007-01-01,Departure,Domestic,Charter,2909,1,2007,7.644520594743176e-05
180,07/11/2018 02:24:22 PM,2018-05-01,Arrival,Domestic,Charter,149,5,2018,3.915550253065428e-06
181,04/18/2018 03:12:41 PM,2011-01-01,Arrival,Domestic,Commuter,65467,1,2011,0.0017203981772982175
182,04/18/2018 03:12:41 PM,2016-08-01,Departure,International,Scheduled Carriers,1093414,8,2016,0.028733674257753573
183,04/18/2018 03:12:41 PM,2011-04-01,Arrival,International,Scheduled Carriers,682812,4,2011,0.017943521472457123
184,04/18/2018 03:12:41 PM,2007-04-01,Arrival,Domestic,Charter,1277,4,2007,3.355810518902384e-05
185,08/03/2020 07:35:04 AM,2020-06-01,Departure,International,Scheduled Carriers,74411,6,2020,0.0019554363079251785
186,04/18/2018 03:12:41 PM,2015-04-01,Departure,Domestic,Scheduled Carriers,2178364,4,2015,0.05724492423804443
187,04/18/2018 03:12:41 PM,2017-04-01,Departure,International,Scheduled Carriers,977543,4,2017,0.025688716382767374
188,04/18/2018 03:12:41 PM,2011-01-01,Arrival,Domestic,Charter,857,1,2011,2.252098367031592e-05
189,04/18/2018 03:12:41 PM,2014-02-01,Departure,International,Charter,54,2,2014,1.4190584809767326e-06
190,04/18/2018 03:12:41 PM,2006-03-01,Arrival,International,Scheduled Carriers,697527,3,2006,0.018330214908523285
191,04/18/2018 03:12:41 PM,2014-09-01,Arrival,Domestic,Charter,630,9,2014,1.655568227806188e-05
192,04/01/2021 09:37:48 AM,2021-02-01,Departure,Domestic,Scheduled Carriers,693318,2,2021,0.018219607183589375
193,04/18/2018 03:12:41 PM,2015-07-01,Arrival,Domestic,Charter,212,7,2015,5.571118480871616e-06
194,04/18/2018 03:12:41 PM,2013-06-01,Arrival,Domestic,Charter,453,6,2013,1.1904323923749257e-05
195,04/18/2018 03:12:41 PM,2014-07-01,Arrival,International,Charter,133,7,2014,3.4950884809241747e-06
196,04/18/2018 03:12:41 PM,2008-11-01,Departure,Domestic,Commuter,125393,11,2008,0.003295185187131767
197,04/18/2018 03:12:41 PM,2010-04-01,Arrival,Domestic,Commuter,60343,4,2010,0.001585745294769981
198,04/18/2018 03:12:41 PM,2014-07-01,Departure,Domestic,Scheduled Carriers,2454149,7,2014,0.0644922398524179
199,04/18/2018 03:12:41 PM,2014-08-01,Departure,Domestic,Commuter,9567,8,2014,0.0002514098608797111
200,04/18/2018 03:12:41 PM,2007-10-01,Departure,Domestic,Charter,1208,10,2007,3.174486379666468e-05
201,04/18/2018 03:12:41 PM,2008-06-01,Arrival,Domestic,Charter,1105,6,2008,2.9038141138505358e-05
202,04/18/2018 03:12:41 PM,2007-06-01,Arrival,Domestic,Commuter,165249,6,2007,0.0043425554615356314
203,06/01/2023 12:01:10 AM,2023-04-01,Departure,Domestic,Charter,1389,4,2023,3.6501337594012615e-05
204,04/18/2018 03:12:41 PM,2014-04-01,Departure,International,Scheduled Carriers,741210,4,2014,0.019478154383051182
205,04/18/2018 03:12:41 PM,2014-09-01,Departure,Domestic,Scheduled Carriers,2016457,9,2014,0.052990192729164796
206,04/18/2018 03:12:41 PM,2016-05-01,Arrival,International,Charter,232,5,2016,6.0966956960481835e-06
207,04/18/2018 03:12:41 PM,2013-09-01,Departure,Domestic,Scheduled Carriers,1883168,9,2013,0.04948750965748132
208,04/18/2018 03:12:41 PM,2007-06-01,Departure,International,Scheduled Carriers,786884,6,2007,0.02067841506934991
209,04/18/2018 03:12:41 PM,2006-12-01,Departure,Domestic,Charter,919,12,2006,2.415027303736328e-05
210,04/18/2018 03:12:41 PM,2007-05-01,Arrival,International,Commuter,4471,5,2007,0.00011749278645272169
211,04/18/2018 03:12:41 PM,2014-02-01,Departure,Domestic,Charter,731,2,2014,1.920984721470355e-05
212,04/18/2018 03:12:41 PM,2011-07-01,Departure,International,Scheduled Carriers,811488,7,2011,0.021324980159460123
213,04/18/2018 03:12:41 PM,2007-06-01,Departure,Domestic,Scheduled Carriers,1908512,6,2007,0.05015352110455307
214,04/18/2018 03:12:41 PM,2006-11-01,Departure,International,Charter,172,11,2006,4.519964050518481e-06
215,04/18/2018 03:12:41 PM,2007-12-01,Arrival,Domestic,Charter,2600,12,2007,6.83250379729538e-05
216,04/29/2020 07:14:24 AM,2020-03-01,Arrival,Domestic,Commuter,128,3,2020,3.3636941771300327e-06
217,08/03/2020 07:35:04 AM,2020-06-01,Departure,Domestic,Scheduled Carriers,454927,6,2020,0.011954963288431517
218,04/18/2018 03:12:41 PM,2007-09-01,Arrival,International,Scheduled Carriers,686584,9,2007,0.018042645335239423
219,04/18/2018 03:12:41 PM,2006-05-01,Arrival,International,Commuter,1477,5,2006,3.881387734078952e-05
220,04/18/2018 03:12:41 PM,2008-12-01,Departure,International,Scheduled Carriers,651688,12,2008,0.01712561821019935
221,07/10/2020 06:01:26 AM,2020-04-01,Arrival,Domestic,Charter,63,4,2020,1.6555682278061879e-06
222,04/18/2018 03:12:41 PM,2017-03-01,Arrival,Domestic,Scheduled Carriers,2436811,3,2017,0.06403661696458134
223,04/18/2018 03:12:41 PM,2013-08-01,Arrival,Domestic,Scheduled Carriers,2229453,8,2013,0.05858748495535221
224,04/18/2018 03:12:41 PM,2010-10-01,Arrival,Domestic,Scheduled Carriers,1766133,10,2010,0.04641196318857184
225,01/10/2021 06:01:37 AM,2020-11-01,Arrival,Domestic,Scheduled Carriers,855015,11,2020,0.022468820131709647
226,04/18/2018 03:12:41 PM,2013-01-01,Arrival,International,Scheduled Carriers,719404,1,2013,0.01890511754534417
227,08/23/2019 03:41:00 PM,2019-07-01,Departure,International,Scheduled Carriers,1230046,7,2019,0.03232420756095381
228,04/18/2018 03:12:41 PM,2016-02-01,Arrival,Domestic,Charter,911,2,2016,2.3940042151292654e-05
229,04/18/2018 03:12:41 PM,2006-08-01,Departure,Domestic,Charter,664,8,2006,1.7449163543862045e-05
230,04/18/2018 03:12:41 PM,2007-05-01,Arrival,Domestic,Commuter,165973,5,2007,0.004361581356725023
231,04/18/2018 03:12:41 PM,2014-12-01,Departure,Domestic,Commuter,705,12,2014,1.852659683497401e-05
232,04/18/2018 03:12:41 PM,2009-10-01,Arrival,International,Scheduled Carriers,608478,10,2009,0.015990108636810375
233,12/07/2020 01:58:36 PM,2020-10-01,Arrival,Domestic,Scheduled Carriers,906795,10,2020,0.02382953954180178
234,04/18/2018 03:12:41 PM,2016-10-01,Departure,Domestic,Charter,1046,10,2016,2.7487688353734482e-05
235,04/18/2018 03:12:41 PM,2006-09-01,Arrival,International,Commuter,1061,9,2006,2.788187126511691e-05
236,04/18/2018 03:12:41 PM,2007-12-01,Arrival,International,Commuter,4531,12,2007,0.00011906951809825139
237,04/18/2018 03:12:41 PM,2011-08-01,Departure,International,Scheduled Carriers,774166,8,2011,0.02034420051821913
